STATE,CITY,ICAO,LAT1,LON1,METAR,PRIORITY,COUNTRY,lat,lon,REGION
LA,ALEXANDRIA,KAEX,31 20N,092 34W,X,6,US,31.3333,-92.5667,SOUTH
TX,AMARILLO,KAMA,35 13N,101 43W,X,3,US,35.2167,-101.7167,SOUTH
OK,ENID,KWDG,36 22N,097 47W,X,7,US,36.3667,-97.7833,SOUTH
AR,FORT SMITH,KFSM,35 20N,094 22W,X,3,US,35.3333,-94.3667,SOUTH
NM,HOBBS,KHOB,32 40N,103 13W,X,6,US,32.6667,-103.2167,SOUTH
AR,JONESBORO,KJBR,35 50N,090 39W,X,6,US,35.8333,-90.65,SOUTH
OK,LAWTON,KLAW,34 33N,098 25W,X,7,US,34.55,-98.4167,SOUTH
TX,LUBBOCK,KLBB,33 40N,101 49W,X,0,US,33.6667,-101.8167,SOUTH
OK,MCALESTER,KMLC,34 53N,095 47W,X,6,US,34.8833,-95.7833,SOUTH
TX,MIDLAND,KMAF,31 57N,102 12W,X,5,US,31.95,-102.2,SOUTH
OK,MUSKOGEE,KMKO,35 39N,095 22W,X,7,US,35.65,-95.3667,SOUTH
OK,OKLAHOMA CITY,KOKC,35 23N,097 36W,X,2,US,35.3833,-97.6,SOUTH
LA,SHREVEPORT,KSHV,32 27N,093 50W,X,3,US,32.45,-93.8333,SOUTH
AR,SPRINGDALE,KASG,36 10N,094 07W,X,7,US,36.1667,-94.1167,SOUTH
AR,TEXARKANA,KTXK,33 27N,093 59W,X,6,US,33.45,-93.9833,SOUTH
OK,TULSA,KTUL,36 12N,095 53W,X,3,US,36.2,-95.8833,SOUTH
KS,DODGE CITY,KDDC,37 46N,099 58W,X,0,US,37.7667,-99.9667,CENTRAL
NE,GRAND ISLAND,KGRI,40 58N,098 19W,X,6,US,40.9667,-98.3167,CENTRAL
KS,HAYS MUNI,KHYS,38 51N,099 16W,X,4,US,38.85,-99.2667,CENTRAL
MO,JOPLIN,KJLN,37 09N,094 30W,X,6,US,37.15,-94.5,CENTRAL
MO,KANSAS CITY,KMCI,39 18N,094 44W,X,0,US,39.3,-94.7333,CENTRAL
NE,LINCOLN,KLNK,40 51N,096 46W,X,3,US,40.85,-96.7667,CENTRAL
KS,MANHATTAN,KMHK,39 08N,096 41W,X,4,US,39.1333,-96.6833,CENTRAL
NE,NORTH PLATTE,KLBF,41 07N,100 40W,X,3,US,41.1167,-100.6667,CENTRAL
NE,OMAHA,KOMA,41 19N,095 54W,X,2,US,41.3167,-95.9,CENTRAL
MO,SPRINGFIELD,KSGF,37 14N,093 23W,X,5,US,37.2333,-93.3833,CENTRAL
KS,WICHITA,KICT,37 39N,097 26W,X,3,US,37.65,-97.4333,CENTRAL
SD,ABERDEEN,KABR,45 27N,098 25W,X,3,US,45.45,-98.4167,NORTH
ND,JAMESTOWN,KJMS,46 56N,098 40W,X,6,US,46.9333,-98.6667,NORTH
MT,MILES CITY,KMLS,46 26N,105 53W,X,4,US,46.4333,-105.8833,NORTH
SD,RAPID CITY,KRAP,44 03N,103 03W,X,2,US,44.05,-103.05,NORTH
SD,SIOUX FALLS,KFSD,43 35N,096 45W,X,2,US,43.5833,-96.75,NORTH
ND,WILLISTON,KISN,48 10N,103 38W,X,6,US,48.1667,-103.6333,NORTH
MT,BILLINGS,KBIL,45 48N,108 33W,X,6,US,45.8,-108.55,WEST
WY,CASPER,KCPR,42 54N,106 28W,X,6,US,42.9,-106.4667,WEST
CO,COLORADO SPRINGS,KCOS,38 49N,104 41W,X,3,US,38.8167,-104.6833,WEST
CO,CRAIG,KCAG,40 30N,107 31W,X,4,US,40.5,-107.5167,WEST
CO,DENVER,KDEN,39 51N,104 39W,X,0,US,39.85,-104.65,WEST
MT,GREAT FALLS,KGTF,47 28N,111 23W,X,0,US,47.4667,-111.3833,WEST
MT,HAVRE,KHVR,48 33N,109 46W,X,3,US,48.55,-109.7667,WEST
